rocks,total missed,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-11,2021-09-12
Slate,563,15,28,7,12,5,4,10,6,1,9,7,5,8,1,14,1,0,3,3,3,6,12,2,0,5,2,0,10,2,4,0,4,1,0,1,2,6,2,9,6,4,9,1,0,0,7,5,0,1,0,1,0,0,0,1,1,0,1,0,0,2,3,1,0,3,0,0,0,1,1,4,2,4,2,12,2,4,2,0,4,0,1,0,0,4,0,1,3,20,12,5,1,0,0,1,2,3,6,0,4,7,1,0,2,1,0,0,1,0,0,1,1,6,1,3,3,0,1,7,0,0,1,1,0,6,1,1,0,0,4,0,2,3,1,2,0,1,1,0,4,2,11,3,0,1,3,0,2,10,1,26,3,6,2,1,2,4,4,11,4,13,7,5,9,5,4,4
Hematite,561,28,32,7,11,12,4,15,17,3,0,2,1,3,10,12,5,0,1,2,2,2,6,1,0,3,0,0,4,6,3,0,2,1,1,1,4,3,3,15,4,1,3,3,0,0,1,1,0,1,0,3,0,0,0,0,1,0,0,0,1,2,0,2,2,4,0,0,1,1,1,2,0,2,4,3,3,2,4,3,8,1,0,1,1,0,0,1,1,33,16,26,0,6,0,0,3,7,2,2,2,0,0,0,2,0,0,0,1,1,0,2,0,5,1,4,3,0,0,6,0,1,1,0,0,4,0,1,1,0,0,0,1,4,0,1,0,0,0,0,4,1,11,7,1,1,4,1,3,12,4,7,13,1,5,1,0,1,2,9,8,5,5,7,6,5,0,11
Tremolite,560,40,30,23,19,11,3,1,36,0,1,7,5,6,6,9,1,0,5,4,5,3,4,3,0,2,0,0,2,6,6,2,3,1,0,0,0,2,2,3,1,2,5,1,0,0,0,4,0,3,2,0,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,1,6,0,1,4,2,3,0,0,4,0,8,2,0,1,2,2,0,1,2,19,9,18,0,2,0,2,1,2,0,1,2,1,0,0,0,3,1,1,0,2,0,1,1,1,1,4,2,0,0,4,1,1,1,0,0,0,1,2,1,0,0,2,3,5,6,2,0,0,0,0,2,0,0,2,3,2,2,0,1,8,2,6,14,12,7,0,1,1,5,9,5,34,4,2,7,5,1,7
Shale,559,41,12,13,5,6,2,2,16,0,3,3,0,8,9,13,1,1,4,2,6,3,6,9,0,8,1,0,3,0,5,0,1,1,0,0,0,2,0,1,8,3,9,1,1,0,1,2,0,4,0,2,0,0,0,0,1,3,0,2,0,2,1,7,4,2,0,0,1,1,1,4,1,4,10,9,1,3,9,2,9,1,1,2,2,2,0,3,2,31,18,8,2,0,1,0,1,1,0,0,4,3,3,1,0,0,2,0,0,1,2,0,3,2,0,2,0,1,0,0,0,1,3,0,0,5,1,0,1,0,1,0,0,1,0,3,1,2,1,0,4,4,14,4,1,4,2,0,3,5,8,8,30,6,0,0,3,6,2,11,8,5,2,3,3,1,2,6
Aragonite,556,13,8,9,3,3,3,16,35,1,3,2,10,2,8,11,0,0,4,0,2,2,3,2,0,4,4,1,2,11,1,2,1,0,0,0,0,5,1,2,10,1,4,9,4,1,0,3,0,5,1,1,0,3,0,0,0,0,0,6,0,5,2,3,0,3,0,0,0,1,1,5,0,3,6,6,2,1,2,2,9,1,1,1,0,0,0,1,4,31,12,13,0,3,1,1,1,7,2,6,6,0,2,0,0,0,0,1,1,1,1,0,0,3,1,9,1,0,0,2,2,0,3,0,0,0,3,1,0,0,0,4,2,5,0,1,1,1,2,0,6,2,7,1,0,2,1,0,5,10,5,11,7,11,9,1,0,5,5,11,9,4,5,7,2,6,5,8
Goethite,549,46,39,15,16,19,3,26,19,0,11,4,4,0,2,11,0,3,5,4,1,4,1,4,0,2,2,3,2,5,1,1,1,2,0,0,0,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,1,0,2,6,2,0,1,3,0,1,2,1,1,3,2,1,1,0,1,0,0,7,38,19,12,1,0,1,1,3,0,3,0,3,7,0,0,2,0,1,1,0,0,0,0,0,3,0,3,1,0,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,4,1,2,0,0,0,2,1,0,5,1,7,0,2,1,7,6,4,3,7,2,12,1,0,5,0,21,10,4,8,6,4,1,7,5
Chalcopyrite,549,18,10,13,8,7,2,27,13,1,6,4,2,0,6,1,3,1,4,3,3,9,2,4,0,6,2,0,3,3,5,0,2,1,1,0,0,3,1,4,5,2,3,1,0,2,1,2,0,3,2,0,0,0,0,0,0,1,2,3,1,3,1,1,1,0,0,0,2,2,0,7,0,4,5,1,0,4,1,1,3,2,0,2,0,0,0,4,3,42,10,26,5,0,0,1,1,12,1,1,5,0,1,0,1,3,1,0,1,1,0,2,0,2,0,1,3,0,0,2,2,1,2,1,0,2,0,2,2,0,1,0,0,2,0,1,1,1,1,0,1,1,3,4,0,2,0,0,7,9,19,0,3,1,0,1,2,3,7,34,7,4,9,9,12,1,4,12
Talc,547,55,12,18,34,7,0,0,30,3,11,4,4,7,2,6,0,0,2,1,6,11,3,1,0,1,1,0,2,3,1,0,3,1,0,0,0,1,1,5,5,5,1,3,3,2,2,4,0,0,1,2,0,0,0,0,0,6,0,2,0,2,0,1,0,0,0,0,1,3,5,1,2,2,3,6,0,2,1,1,1,4,2,0,0,1,0,1,2,31,17,15,2,1,0,1,3,10,3,0,0,1,2,0,2,0,0,1,2,0,0,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,4,1,0,1,1,2,1,3,3,9,0,1,0,2,0,0,1,6,4,24,4,1,0,5,1,2,10,12,2,3,6,3,9,1,8
Corundum,533,37,22,13,9,10,2,16,25,0,11,7,1,3,5,5,4,0,0,0,3,8,11,10,0,3,1,0,3,3,2,6,0,2,0,0,0,3,1,0,6,1,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,2,2,6,0,5,9,2,0,4,2,1,5,0,0,2,0,0,0,3,3,37,14,17,0,0,0,0,2,13,3,2,1,0,0,0,1,0,0,1,0,2,0,1,1,3,1,3,8,0,0,5,1,1,1,0,0,0,0,0,0,2,0,0,0,3,1,1,0,0,0,1,0,0,3,1,0,2,1,2,3,9,4,3,18,5,2,0,1,2,1,14,9,9,3,7,0,3,4,5
Gabbro,529,30,25,13,12,3,1,3,15,2,1,6,2,7,1,8,1,2,0,0,1,1,6,2,0,2,1,1,3,5,5,0,2,1,2,0,0,3,2,3,7,4,1,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,4,7,1,4,5,5,1,2,2,2,8,0,1,0,0,0,0,0,5,35,10,9,0,3,0,2,1,11,2,1,11,0,1,0,0,0,0,2,2,0,0,2,1,5,0,3,4,0,0,7,1,4,1,0,0,0,0,3,0,0,6,1,1,4,0,3,0,0,0,2,8,1,6,5,0,1,2,1,3,9,5,3,12,8,6,0,1,3,6,8,7,8,3,5,17,4,2,13
Conglomerate,510,18,15,20,9,1,1,1,18,3,3,5,0,5,5,7,0,0,4,5,4,1,2,4,0,4,4,1,1,0,1,1,1,1,0,0,0,2,1,1,5,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,2,0,2,1,0,1,0,0,0,2,0,3,1,7,3,4,2,6,2,2,7,4,0,0,0,2,0,1,3,37,9,9,1,0,0,1,1,19,5,2,5,0,2,1,1,0,0,1,2,0,0,1,0,1,0,1,2,0,1,6,0,1,1,0,0,0,0,1,0,4,1,0,1,3,0,1,1,1,3,0,6,3,4,2,1,2,1,1,6,9,5,12,2,2,1,1,1,12,0,10,6,8,1,10,31,4,4,17
Albite,503,19,12,12,4,4,1,8,24,8,4,5,5,6,8,2,0,1,1,2,8,2,1,0,0,1,0,3,1,6,2,0,3,1,0,0,2,3,1,3,3,4,3,1,3,0,0,0,0,0,1,3,0,0,0,1,0,0,2,0,1,4,0,1,2,1,0,0,1,1,3,2,0,9,3,2,0,3,1,1,3,0,0,2,0,3,0,0,4,24,13,14,2,0,0,1,4,5,0,0,4,1,1,0,1,0,1,2,1,1,1,1,1,6,0,5,2,0,0,1,2,0,0,0,0,1,0,0,1,3,0,0,2,2,1,0,0,1,1,0,2,0,1,3,0,2,0,0,3,10,4,9,16,2,4,2,2,4,2,29,3,22,12,6,10,5,8,5
Basalt,501,54,31,4,18,9,4,7,22,6,7,0,6,0,6,8,1,0,3,6,2,7,2,5,1,4,1,7,2,2,5,1,0,0,0,0,0,3,1,4,1,1,5,1,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,2,0,5,1,1,2,0,0,0,0,2,2,11,0,3,5,1,0,0,2,2,5,1,4,0,2,0,0,5,2,22,11,13,0,0,0,0,1,8,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,2,0,4,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,2,0,3,2,4,0,3,1,3,1,1,8,1,7,8,4,4,1,1,3,2,5,14,10,6,4,3,0,1,8
Limonite,492,26,14,20,12,4,0,8,19,0,0,1,7,2,1,4,0,0,2,1,0,8,3,0,0,2,1,2,3,5,1,4,1,0,0,0,0,5,0,2,3,0,2,2,0,0,2,1,0,0,0,1,1,1,0,0,0,1,2,2,2,2,0,2,0,3,0,0,0,0,0,0,2,9,1,1,1,2,2,1,1,0,0,2,0,0,0,1,2,40,20,13,5,0,0,2,0,2,4,2,2,1,1,0,7,1,0,0,1,2,0,2,0,2,0,2,5,0,0,1,2,1,0,1,0,0,0,0,0,0,9,0,1,7,1,1,1,2,2,0,2,2,3,2,0,1,0,0,2,6,6,16,23,1,0,3,2,5,2,13,5,6,7,4,8,5,6,9
Graphite,489,28,26,15,8,4,0,10,13,11,9,3,0,1,3,16,0,0,1,1,6,5,6,1,0,2,0,1,1,2,6,2,1,1,1,0,2,2,3,7,4,1,5,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,0,3,2,0,0,1,0,3,0,0,0,2,4,3,0,0,3,7,0,3,1,0,8,4,1,0,2,1,0,0,4,23,3,8,1,5,3,2,1,13,3,0,1,2,0,0,1,0,1,0,1,0,0,1,0,9,0,3,2,0,0,2,0,0,1,0,0,1,0,2,0,5,0,0,0,3,1,1,1,1,2,0,4,0,0,0,1,3,1,1,3,7,5,7,9,3,0,1,3,8,2,14,8,11,7,4,4,5,1,7
Gneiss,488,13,13,12,25,7,1,5,28,0,3,4,2,0,2,11,0,0,3,1,0,1,2,1,0,7,2,0,2,0,2,1,2,1,0,1,5,2,4,3,4,1,5,0,0,0,0,8,0,1,0,0,0,0,1,0,3,1,1,0,0,2,1,3,1,5,0,0,0,3,1,12,1,2,9,0,5,2,0,0,8,1,1,0,2,0,0,1,0,16,12,7,0,2,0,1,1,10,0,3,2,3,0,0,3,0,1,2,2,3,1,0,0,3,3,1,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,3,1,3,2,0,1,0,0,1,3,4,2,0,0,0,0,2,11,1,0,13,0,2,1,3,3,6,28,6,24,2,13,12,2,4,1
Orthoclase,470,54,20,13,5,2,1,2,23,2,4,6,2,5,1,11,3,0,1,4,1,1,2,3,1,3,1,0,2,1,5,0,1,0,0,0,0,3,2,1,8,3,5,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,3,2,3,0,1,0,0,0,0,1,0,0,4,0,1,6,5,5,3,1,1,4,1,1,1,0,1,0,0,0,18,13,13,4,0,1,0,2,7,3,1,1,1,1,0,0,0,0,2,1,0,0,0,1,4,0,3,3,0,0,1,2,1,0,0,0,0,0,2,1,2,2,0,1,3,1,3,0,0,0,0,1,4,8,7,0,1,6,0,0,6,1,2,14,2,16,6,1,6,3,4,4,3,2,4,8,3,4,4
Bornite,469,10,19,22,5,12,5,5,21,3,7,4,1,8,3,10,1,0,1,1,2,2,0,0,0,3,1,0,3,4,0,0,2,2,0,0,0,1,3,3,1,4,2,0,0,1,0,0,0,1,1,1,2,0,0,0,0,4,5,0,0,2,0,0,0,0,1,0,0,2,2,0,0,6,2,2,0,4,2,2,1,1,0,1,0,0,0,2,1,26,8,12,2,0,0,3,0,1,0,2,2,2,0,0,3,0,0,1,0,3,0,2,1,4,4,3,1,0,0,1,1,1,5,0,0,1,0,0,0,1,0,0,1,5,0,1,0,1,0,0,1,0,5,0,1,0,1,0,6,2,22,6,10,4,7,4,4,4,4,29,6,9,4,8,4,1,3,9
Beryl,466,24,15,7,32,13,4,1,30,5,2,0,3,1,8,8,0,0,4,10,5,1,1,4,0,1,0,0,1,3,1,1,5,0,0,0,1,2,1,5,1,1,2,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,2,0,5,0,0,0,3,2,1,0,2,1,2,1,2,1,0,2,0,0,0,0,0,0,1,1,28,5,12,0,0,0,0,4,16,1,1,0,2,1,0,1,1,0,0,0,0,0,1,0,3,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,0,0,0,1,0,4,4,1,2,0,0,2,2,2,10,14,0,3,4,2,2,0,9,7,17,8,13,11,6,3,6
Hornblende,465,28,27,15,2,2,4,21,13,0,11,10,4,0,6,5,0,0,1,2,2,0,3,1,0,4,0,0,3,1,4,0,2,1,0,0,0,5,2,0,7,2,4,1,3,0,0,2,0,2,1,3,2,0,0,0,0,0,4,0,0,2,1,3,0,2,0,0,0,1,1,1,1,5,6,4,2,2,0,0,4,2,0,0,1,3,0,2,1,21,6,8,0,2,0,0,1,8,6,0,3,0,1,0,0,1,2,1,0,0,0,0,0,0,0,6,1,1,0,1,1,0,3,0,0,1,0,1,0,1,2,0,3,2,1,0,0,1,3,1,2,1,9,1,4,0,1,0,2,23,3,1,4,1,1,1,1,2,2,17,6,13,3,4,4,3,8,5
Fluorite,450,32,14,10,12,12,1,5,17,3,4,0,0,4,8,16,1,2,0,0,4,5,3,1,0,3,0,1,4,2,0,2,0,0,0,0,1,4,1,2,1,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2,1,0,10,2,3,0,0,2,0,4,0,0,0,0,1,0,0,1,32,7,18,0,2,1,0,0,6,3,0,11,1,0,0,0,0,0,0,0,1,1,0,0,5,0,3,4,0,0,4,0,2,0,0,0,0,0,1,1,5,0,3,2,1,0,1,2,0,1,1,2,0,10,0,0,2,2,3,4,9,0,6,1,3,4,2,1,7,0,14,12,10,1,2,4,7,2,8
Bituminous Coal,445,23,18,11,2,8,1,1,8,2,1,7,0,4,2,1,1,0,0,1,1,1,2,0,0,5,2,5,4,1,4,0,1,0,0,0,0,2,5,0,2,3,4,4,0,0,0,1,0,0,1,2,0,0,0,0,1,0,7,0,0,1,3,2,2,1,0,0,0,0,3,6,0,4,8,3,0,3,2,1,5,6,1,1,0,0,0,0,0,30,16,10,0,0,0,1,1,2,3,0,4,3,0,0,0,1,0,0,0,2,0,0,0,2,1,2,1,0,0,2,0,2,1,0,0,0,1,1,1,2,1,1,0,3,0,2,0,0,0,1,3,0,10,1,0,1,2,0,1,11,14,10,5,6,1,4,3,0,3,18,5,15,7,5,8,7,3,4
Lignite,444,15,11,5,6,0,0,9,8,0,2,0,0,0,2,4,0,0,1,2,3,6,5,4,0,1,2,1,2,5,9,0,0,2,0,2,0,8,4,2,4,0,0,0,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0,2,1,0,0,0,0,0,2,4,3,2,8,5,1,3,3,0,0,9,2,1,0,1,1,0,0,2,41,12,11,1,0,0,3,1,7,6,2,2,2,0,0,6,0,2,0,0,1,0,0,0,3,0,3,3,0,1,2,2,0,1,0,0,0,1,0,0,1,0,0,5,3,1,0,0,0,1,0,2,4,8,1,0,3,2,0,0,4,2,9,14,1,3,2,1,5,4,22,8,2,3,14,4,1,2,11
Scoria,418,37,10,5,0,3,1,1,9,0,2,4,0,5,5,11,0,1,0,0,1,4,6,0,0,3,0,0,3,0,3,0,1,0,0,0,0,3,4,1,2,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,3,2,1,2,0,1,1,0,4,0,0,1,0,1,9,1,4,4,7,2,6,1,2,3,5,0,0,0,0,0,2,1,28,9,9,2,0,0,0,2,14,2,0,1,1,0,0,3,0,0,0,0,0,0,0,2,3,0,2,2,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,3,0,0,0,0,2,2,3,2,2,0,1,1,6,5,2,14,14,2,1,1,2,0,3,18,9,5,3,3,17,2,6,6
Epidote,415,27,11,10,5,6,5,16,7,1,6,2,0,0,6,15,1,0,1,0,1,1,1,3,0,1,0,0,2,1,0,2,0,2,0,0,0,4,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,2,0,1,1,0,0,0,4,1,1,1,1,0,3,1,3,2,2,1,3,1,0,0,0,0,4,0,48,4,9,1,0,0,2,1,6,0,4,6,0,0,0,0,1,0,0,0,0,0,2,0,3,0,4,1,0,1,1,1,0,2,0,0,5,1,1,0,0,7,0,1,3,0,2,0,2,2,0,1,1,5,3,0,0,0,0,1,5,6,7,21,0,8,1,1,2,1,11,2,16,6,3,2,3,2,1
Rock Crystal,392,19,4,3,12,2,0,7,36,2,2,11,0,0,5,3,0,0,1,0,0,12,0,2,0,5,0,1,2,5,0,0,0,1,0,1,0,5,5,2,1,5,1,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,2,0,4,0,0,0,0,3,4,1,5,4,2,2,2,0,2,8,4,1,1,1,1,0,1,1,17,11,8,0,0,1,1,1,5,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,4,1,0,2,1,1,0,0,0,0,0,0,2,0,0,1,3,3,0,0,1,0,1,3,2,2,5,1,1,1,1,0,0,17,1,4,2,3,1,2,1,2,1,20,5,4,4,6,3,3,7,2
Citrine,379,23,15,3,17,19,1,0,21,1,10,3,0,5,7,5,0,0,0,0,0,4,0,3,0,1,0,0,1,4,2,0,0,0,0,0,1,2,4,5,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,1,0,2,5,1,4,3,2,1,0,3,0,1,0,0,0,0,0,1,17,3,10,0,0,0,1,1,2,4,0,3,0,0,0,1,1,0,1,0,1,0,0,0,3,0,1,1,1,0,0,1,0,1,0,0,1,0,3,1,0,1,0,0,2,1,1,0,0,1,1,1,0,5,1,0,0,1,0,2,9,1,10,9,4,3,1,1,3,2,31,4,4,7,1,10,5,4,3
Lepidolite,378,21,13,11,4,4,3,11,12,1,7,2,2,2,3,3,1,0,2,0,4,5,1,0,0,2,1,0,3,2,1,0,1,0,0,0,0,3,1,0,0,4,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,3,0,0,1,2,2,2,0,2,6,1,4,2,2,0,1,0,0,0,0,0,0,1,1,25,5,9,2,0,0,1,2,4,3,0,4,1,0,0,0,2,0,0,0,1,0,0,0,2,1,3,2,0,0,2,3,1,0,0,0,0,0,2,0,0,0,0,2,3,1,1,0,0,1,0,5,0,0,0,0,2,1,2,7,4,6,7,5,1,2,6,2,3,0,8,1,18,3,8,13,1,1,11
Onyx,373,23,16,9,4,2,0,2,10,0,1,11,3,10,5,0,2,1,2,1,0,2,0,2,0,4,1,1,1,2,0,0,1,1,0,1,0,0,0,8,3,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,2,4,0,0,0,0,0,1,2,1,3,3,1,0,1,1,1,10,1,1,0,2,0,0,0,1,19,16,7,0,3,0,0,2,2,1,0,4,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,3,0,0,2,0,0,1,0,0,0,0,0,1,3,2,0,0,1,2,0,0,1,1,3,0,5,0,0,0,9,3,3,15,5,1,4,0,1,0,1,18,8,13,7,8,2,6,4,4
Azurite,370,57,15,10,5,0,2,2,10,1,10,2,0,4,1,8,0,0,0,1,0,3,6,8,0,2,1,0,2,2,2,1,0,0,0,0,0,2,2,2,1,4,5,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,1,6,0,0,5,1,1,1,0,0,0,4,4,0,0,1,0,0,2,2,27,8,5,0,12,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,0,0,1,0,3,0,0,1,2,2,1,1,1,1,1,15,2,1,1,0,0,1,2,8,4,5,4,11,4,11,1,2
Almandine,370,18,5,5,2,1,3,4,12,1,8,0,3,1,0,7,0,0,0,3,0,0,0,8,0,1,0,0,3,2,0,0,0,0,0,0,0,3,1,4,4,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,3,0,4,1,3,1,3,4,2,4,0,1,0,1,0,0,0,1,17,10,13,0,0,2,2,0,4,3,0,6,1,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,3,2,0,4,0,0,0,1,1,0,0,0,0,2,4,0,1,0,1,2,0,0,0,0,1,0,1,1,1,0,8,6,21,12,9,3,1,1,20,4,8,6,13,2,9,3,7,2,6
Granite,367,12,13,13,2,9,1,1,21,0,4,0,1,0,2,10,0,0,1,1,1,5,12,2,0,1,0,0,2,5,1,1,2,3,0,0,0,1,1,1,7,0,4,3,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,3,2,0,3,1,1,4,0,0,0,0,1,4,1,6,2,5,1,0,0,1,10,2,0,0,0,0,0,4,0,13,13,8,0,0,0,1,1,0,8,0,2,3,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,1,0,0,0,3,2,2,1,1,1,2,3,7,3,6,9,6,4,2,0,2,0,10,2,6,3,11,5,7,3,4
Breccia,358,23,7,5,10,3,1,1,16,1,5,4,6,3,2,1,0,0,0,7,0,4,2,5,1,6,2,1,2,2,3,1,0,1,0,0,0,6,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,4,2,2,0,1,1,0,0,0,0,2,1,3,6,6,3,2,3,2,0,0,4,6,1,0,0,1,0,0,0,10,8,10,0,2,0,1,0,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,3,0,2,3,0,0,1,1,0,0,0,0,0,1,4,1,3,1,1,1,1,1,2,4,1,4,2,1,3,3,6,2,2,5,1,2,3,1,1,0,12,7,7,2,6,7,2,5,6
